id,song_name,artist,genre,album,year,popularity,cover_image,spotify_url,mood,language,region,region_group,youtube_url,source,lyrics,history,song_key,artist_key,feature_text
1,Sahiba,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",bollywood,Sahiba,2024.0,78.0,https://i.scdn.co/image/ab67616d0000b273b5e7944443cec785db91184b,https://open.spotify.com/track/4ulroyDK6rN73nVkCkWhur,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,sahiba,jasleen royal stebin ben vijay deverakonda radhikka madan priya saraiya aditya sharma,"song Sahiba artist Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
2,Sanam Teri Kasam,"Ankit Tiwari, Palak Muchhal, Sameer Anjaan",bollywood,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016.0,74.0,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,https://open.spotify.com/track/1PDREqVNvmphIoNac3Vz8c,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,sanam teri kasam,ankit tiwari palak muchhal sameer anjaan,"song Sanam Teri Kasam artist Ankit Tiwari, Palak Muchhal, Sameer Anjaan genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
3,"Sajni (From ""Laapataa Ladies"")","Ram Sampath, Arijit Singh, Prashant Pandey",bollywood,"Sajni (From ""Laapataa Ladies"")",2024.0,75.0,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,sajni from laapataa ladies,ram sampath arijit singh prashant pandey,"song Sajni (From ""Laapataa Ladies"") artist Ram Sampath, Arijit Singh, Prashant Pandey genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
4,"Aaj Ki Raat (From ""Stree 2"")","Sachin-Jigar, Madhubanti Bagchi, Divya Kumar, Amitabh Bhattacharya",bollywood,"Aaj Ki Raat (From ""Stree 2"")",2024.0,73.0,https://i.scdn.co/image/ab67616d0000b2735e16168f7e8ff4fb8aace6cf,https://open.spotify.com/track/5AnWrUzsrFgBvhn6dUElnr,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,aaj ki raat from stree 2,sachinjigar madhubanti bagchi divya kumar amitabh bhattacharya,"song Aaj Ki Raat (From ""Stree 2"") artist Sachin-Jigar, Madhubanti Bagchi, Divya Kumar, Amitabh Bhattacharya genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
5,Millionaire,Yo Yo Honey Singh,bollywood,Glory,2024.0,74.0,https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88,https://open.spotify.com/track/78BWCd70D1X6LMkDZm1UoF,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,millionaire,yo yo honey singh,song Millionaire artist Yo Yo Honey Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history 
6,Tera Chehra,"Arijit Singh, Sameer Anjaan",bollywood,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016.0,73.0,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,https://open.spotify.com/track/3trnNo4KeaUlFuUiV7iRCj,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,tera chehra,arijit singh sameer anjaan,"song Tera Chehra artist Arijit Singh, Sameer Anjaan genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
7,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",bollywood,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019.0,74.0,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,tujhe kitna chahne lage from kabir singh,arijit singh mithoon,"song Tujhe Kitna Chahne Lage (From ""Kabir Singh"") artist Arijit Singh, Mithoon genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
8,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel",bollywood,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024.0,73.0,https://i.scdn.co/image/ab67616d0000b273b608e9bcf3845d082d1d559e,https://open.spotify.com/track/2ceeTJAzKy295Fm0VsaXtE,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,tum se from teri baaton mein aisa uljha jiya,sachinjigar raghav chaitanya varun jain indraneel,"song Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") artist Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
9,"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima",bollywood,"Satranga (From ""ANIMAL"")",2023.0,73.0,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,https://open.spotify.com/track/3yHyiUDJdz02FZ6jfUbsmY,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,satranga from animal,arijit singh shreyas puranik siddharth garima,"song Satranga (From ""ANIMAL"") artist Arijit Singh, Shreyas Puranik, Siddharth - Garima genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
10,Tum Se Hi,"Pritam, Mohit Chauhan, Irshad Kamil",bollywood,Jab We Met,2007.0,73.0,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,tum se hi,pritam mohit chauhan irshad kamil,"song Tum Se Hi artist Pritam, Mohit Chauhan, Irshad Kamil genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
